quantile,lowercut,avgmirai
0,0.011840820781230672,0.011984385869442483
0.01,0.012069084866197073,0.012130683660027803
0.02,0.012193470966150472,0.01225045665872269
0.03,0.012312057791780268,0.012385806505271497
0.04,0.012459382229658441,0.012528624630439739
0.05,0.012600723289220583,0.0126424505378414
0.06,0.012695055005238508,0.01278543172122319
0.07,0.01289585354373247,0.012929504374952673
0.08,0.01297260426943438,0.013021516454878607
0.09,0.013085182727649466,0.013144039813409872
0.1,0.013201353326148725,0.013242669504419713
0.11,0.013285691887774584,0.01332100609027509
0.12,0.01336451136926437,0.013429025118642659
0.13,0.013478700057900885,0.013536413247719701
0.14,0.013594935279321655,0.013650988231802929
0.15,0.013706347489839975,0.013740903446325317
0.16,0.013783781986546425,0.013846975896552302
0.17,0.01388968356705836,0.013940559576017217
0.18,0.013986538220129003,0.014051558783903595
0.19,0.014122076262470506,0.014180621535658485
0.2,0.014225168382564652,0.01428485638666826
0.21,0.014332868865723531,0.014359602978159048
0.22,0.01440531404262052,0.0144668019510579
0.23,0.01450681619515413,0.014575829682406047
0.24,0.01464014750944246,0.014699964618591995
0.25,0.014742529392051416,0.014777026499148152
0.26,0.014826576945171623,0.014897199518522773
0.27,0.01494363895616474,0.015012386184999506
0.28,0.015073739114526839,0.015137314760255198
0.29,0.015196461827757544,0.015240563715866694
0.3,0.015324691345157068,0.015382292572952051
0.31,0.01543556985599102,0.015521872843354483
0.32,0.015586621407513653,0.015658109676823528
0.33,0.015737447335937176,0.0157838417811784
0.34,0.015835994734506392,0.015894552682763796
0.35000000000000003,0.015959805772666695,0.016027244440470753
0.36,0.016101534975679493,0.01616939663983459
0.37,0.016229040644762122,0.016296095549033336
0.38,0.016351770957436486,0.016401798161554983
0.39,0.016485143760178816,0.016555568273449627
0.4,0.016646410772407104,0.01673011166115433
0.41000000000000003,0.01685082677297249,0.016905802985256683
0.42,0.016963608200876765,0.017052772864228558
0.43,0.017106817124904326,0.01718340980354679
0.44,0.017272765847394834,0.017329799866032294
0.45,0.017418947507552573,0.017519562672328282
0.46,0.017641648957507996,0.01773230595387304
0.47000000000000003,0.01789212715908898,0.018007545068258555
0.48,0.0181246606755794,0.01818233304591515
0.49,0.018237082346795455,0.018330019436009717
0.5,0.01840977768880363,0.01851931768980206
0.51,0.01861283619426557,0.018685751165692873
0.52,0.018775416295383485,0.01883906666687377
0.53,0.018890742341211932,0.018991519709252173
0.54,0.019124572731001533,0.01922078367127873
0.55,0.019320759072479755,0.01946336864925731
0.56,0.019577710747648434,0.01965909476367613
0.5700000000000001,0.019757941429139465,0.01986839432810659
0.58,0.019989173052153357,0.020059113494676695
0.59,0.020139522771120293,0.020279486826322208
0.6,0.02041974723070687,0.02050891167736228
0.61,0.020609007187349367,0.020724857185920646
0.62,0.02089629795453828,0.02096332308527264
0.63,0.021019211205687068,0.02114996852485544
0.64,0.021247720517745344,0.021369874102948667
0.65,0.021527057705349222,0.02163165821306489
0.66,0.021731780846985703,0.021842865144496442
0.67,0.02195850770226464,0.022116230029199713
0.68,0.02226088498948714,0.02235848215798663
0.6900000000000001,0.02244839057123412,0.022555987859548883
0.7000000000000001,0.022693066267266367,0.022823380475555783
0.71,0.023029463785842058,0.02315926395809639
0.72,0.023371269173301835,0.02355648270031775
0.73,0.02372014250356631,0.02386088411138774
0.74,0.02401698525972866,0.02413005245821738
0.75,0.024248888983240627,0.02436959053728639
0.76,0.02455276635544678,0.024745711106166638
0.77,0.024898024869846158,0.025059938595464234
0.78,0.025194652547809535,0.025424972892843057
0.79,0.025661537204044668,0.02588781624365669
0.8,0.02611696044160034,0.026234990952997195
0.81,0.026370972585066755,0.02663272091053616
0.8200000000000001,0.026833045312527955,0.02699531989206474
0.8300000000000001,0.027158589391941088,0.02733566578255881
0.84,0.02752658913469755,0.027731885006265288
0.85,0.02791587153409305,0.028199643483253604
0.86,0.028584485726137875,0.02887371480216121
0.87,0.02915021855971903,0.02948518723556295
0.88,0.029788279847538186,0.030042699902586924
0.89,0.030309312771426525,0.030703720484952228
0.9,0.03101368217944934,0.03137951598388804
0.91,0.03183861023643283,0.03251775678070284
0.92,0.03340365718577817,0.03450759842605118
0.93,0.035456151748101135,0.036368940129076446
0.9400000000000001,0.037676650833976796,0.039617964658822946
0.9500000000000001,0.0427428231073857,0.046184572414022525
0.96,0.05058947300889478,0.05793726276339735
0.97,0.06592166750660017,0.07756780552454554
0.98,0.08979246084315859,0.10013128073154379
0.99,0.1148564064706162,0.1565826613588866
1,0.2578901610782923,NA
